
code_province,osm_id,osm_type,category_key,category_value,lat,lon,reason
MA-01-051,14015549783,node,amenity,school,34.7840308,-4.526348,hors_polygone_commune_connu
MA-01-051,14015549958,node,amenity,school,35.2071833,-3.912922,hors_polygone_commune_connu
MA-01-051,14015549971,node,amenity,school,35.2550354,-3.9373158,hors_polygone_commune_connu
MA-01-051,14015549972,node,amenity,school,35.2454104,-3.932522,hors_polygone_commune_connu
MA-01-051,14015549973,node,amenity,school,35.2461128,-3.931215,hors_polygone_commune_connu
MA-01-051,14015549974,node,amenity,school,35.2454924,-3.9303551,hors_polygone_commune_connu
MA-01-051,14015549976,node,amenity,school,35.24606,-3.9328265,hors_polygone_commune_connu
MA-01-051,14015550804,node,amenity,school,34.7844254,-4.5278875,hors_polygone_commune_connu
MA-01-051,14015550805,node,amenity,school,34.7840904,-4.5275113,hors_polygone_commune_connu
MA-01-051,14015550815,node,amenity,school,35.2450209,-3.9302624,hors_polygone_commune_connu
MA-01-051,14015550821,node,amenity,school,35.2445589,-3.9317468,hors_polygone_commune_connu
MA-01-051,14015550824,node,amenity,school,35.2440669,-3.9337711,hors_polygone_commune_connu
MA-01-051,14015550825,node,amenity,school,35.2453475,-3.9368927,hors_polygone_commune_connu
MA-01-051,14015550826,node,amenity,school,35.2543646,-3.9317147,hors_polygone_commune_connu
MA-01-051,14015550911,node,amenity,school,34.775667,-4.5289253,hors_polygone_commune_connu
MA-01-051,40609340,way,leisure,park,35.2345531,-3.9253616,hors_polygone_commune_connu
MA-01-051,144418385,way,leisure,playground,35.2441552,-3.9318579,hors_polygone_commune_connu
MA-01-051,144422349,way,leisure,stadium,35.2468288,-3.9332344,hors_polygone_commune_connu
MA-01-051,144848508,way,leisure,park,35.2479579,-3.9284564,hors_polygone_commune_connu
MA-01-051,146912113,way,tourism,hotel,35.2460737,-3.9272789,hors_polygone_commune_connu
MA-01-051,150285448,way,leisure,park,35.2408414,-3.9327113,hors_polygone_commune_connu
MA-01-051,150285477,way,amenity,place_of_worship,35.2476388,-3.9324872,hors_polygone_commune_connu
MA-01-051,150285507,way,amenity,marketplace,35.2409221,-3.926879,hors_polygone_commune_connu
MA-01-051,150582921,way,amenity,place_of_worship,35.2480726,-3.9378738,hors_polygone_commune_connu
MA-01-051,150856463,way,amenity,hospital,35.2338198,-3.9255847,hors_polygone_commune_connu
MA-01-051,178422127,way,leisure,park,35.2464709,-3.9258212,hors_polygone_commune_connu
MA-01-051,220534897,way,leisure,pitch,35.2468423,-3.9332259,hors_polygone_commune_connu
MA-01-051,252608868,way,amenity,parking,35.2103861,-3.9053997,hors_polygone_commune_connu
MA-01-051,252775157,way,leisure,garden,35.2104297,-3.9056565,hors_polygone_commune_connu
MA-01-051,252775158,way,tourism,guest_house,35.2106893,-3.9057986,hors_polygone_commune_connu
MA-01-051,252775159,way,leisure,park,35.2104264,-3.9052824,hors_polygone_commune_connu
MA-01-051,252775160,way,leisure,garden,35.2106929,-3.9056109,hors_polygone_commune_connu
MA-01-051,252775161,way,leisure,garden,35.2105564,-3.905924,hors_polygone_commune_connu
MA-01-051,252775162,way,leisure,garden,35.2105274,-3.9058626,hors_polygone_commune_connu
MA-01-051,298786146,way,amenity,parking,35.2451733,-3.9274366,hors_polygone_commune_connu
MA-01-051,309653081,way,amenity,place_of_worship,35.2410937,-3.9254729,hors_polygone_commune_connu
