report_title,report_url,pdf_filename,page_number,row_number,code_rayon_d_action,credit_montant,credit_percent,depots_montant,depots_percent,nombre_guichets,periode,rayon_d_action
Répartition par rayon d'action des dépôts et crédits 05-2025,https://www.bkam.ma/content/download/830716/9049083/Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,1,13,70,1830292,0.16,9557608,0.74,68,05-2025,OUARZAZATE
Répartition par rayon d'action des dépôts et crédits 05-2025,https://www.bkam.ma/content/download/830716/9049083/Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,1,14,73,13783823,1.21,49432984,3.85,282,05-2025,OUJDA
Répartition par rayon d'action des dépôts et crédits 05-2025,https://www.bkam.ma/content/download/830716/9049083/Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,1,15,78,170081428,14.93,186604271,14.52,598,05-2025,SUCCURSALEDERABAT
Répartition par rayon d'action des dépôts et crédits 05-2025,https://www.bkam.ma/content/download/830716/9049083/Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,1,16,80,7092153,0.62,16408630,1.28,110,05-2025,SAFI
Répartition par rayon d'action des dépôts et crédits 05-2025,https://www.bkam.ma/content/download/830716/9049083/Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,1,17,83,8703192,0.76,20035643,1.56,138,05-2025,SETTAT
Répartition par rayon d'action des dépôts et crédits 05-2025,https://www.bkam.ma/content/download/830716/9049083/Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,1,18,86,25164756,2.21,63842778,4.97,254,05-2025,TANGER
Répartition par rayon d'action des dépôts et crédits 05-2025,https://www.bkam.ma/content/download/830716/9049083/Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,1,19,88,3686606,0.32,15222122,1.18,96,05-2025,TAZA
Répartition par rayon d'action des dépôts et crédits 05-2025,https://www.bkam.ma/content/download/830716/9049083/Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,Répartition par rayon d'action des dépôts et crédits 05 2025.pdf,1,20,96,7815561,0.69,26602159,2.07,133,05-2025,TETOUAN
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,1,8,42890914,3.74,81511792,6.42,460,04-2025,AGADIR
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,2,12,1468392,0.13,11381018,0.9,61,04-2025,ALHOCEIMA
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,3,16,9925282,0.87,45956852,3.62,242,04-2025,BENIMELLAL
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,4,25,719002964,62.7,434947402,34.28,1247,04-2025,SUCCURSALEDECASABLANCA
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,5,28,12197953,1.06,14118518,1.11,100,04-2025,LAAYOUNE
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,6,30,11743058,1.02,21580156,1.7,139,04-2025,ELJADIDA
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,7,35,23152744,2.02,52407955,4.13,347,04-2025,FES
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,8,45,14538455,1.27,30005891,2.36,167,04-2025,KENITRA
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,9,55,4628597,0.4,13044948,1.03,64,04-2025,LARACHE
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,10,60,35347156,3.08,78303724,6.17,370,04-2025,MARRAKECH
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,11,63,25776247,2.25,54297275,4.28,382,04-2025,MEKNES
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,12,66,6033688,0.53,50766271,4.0,183,04-2025,NADOR
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,13,70,1841896,0.16,9474532,0.75,68,04-2025,OUARZAZATE
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,14,73,13874401,1.21,49289461,3.88,283,04-2025,OUJDA
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,15,78,170740396,14.89,180389449,14.22,598,04-2025,SUCCURSALEDERABAT
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,16,80,7341998,0.64,16269338,1.28,110,04-2025,SAFI
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,17,83,8734366,0.76,19927298,1.57,138,04-2025,SETTAT
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,18,86,25932426,2.26,63332152,4.99,254,04-2025,TANGER
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,19,88,3704254,0.32,15291281,1.21,96,04-2025,TAZA
Répartition par rayon d'action des dépôts et crédits 04-2025,https://www.bkam.ma/content/download/830715/9049081/Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,Répartition par rayon d'action des dépôts et crédits 04 2025.pdf,1,20,96,7798472,0.68,26602309,2.1,134,04-2025,TETOUAN
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,1,8,43599126,3.74,80423703,6.25,460,03-2025,AGADIR
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,2,12,1474465,0.13,11334378,0.88,61,03-2025,ALHOCEIMA
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,3,16,9927508,0.85,45999050,3.57,242,03-2025,BENIMELLAL
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,4,25,738616109,63.38,454954711,35.35,1251,03-2025,SUCCURSALEDECASABLANCA
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,5,28,12197334,1.05,13765271,1.07,99,03-2025,LAAYOUNE
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,6,30,11835285,1.02,21244018,1.65,139,03-2025,ELJADIDA
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,7,35,23050280,1.98,52326339,4.07,347,03-2025,FES
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,8,45,14593109,1.25,29756457,2.31,168,03-2025,KENITRA
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,9,55,4646770,0.4,12912682,1.0,64,03-2025,LARACHE
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,10,60,35672083,3.06,78659881,6.11,372,03-2025,MARRAKECH
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,11,63,26052178,2.24,53949631,4.19,383,03-2025,MEKNES
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,12,66,6051477,0.52,50199025,3.9,183,03-2025,NADOR
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,13,70,1878895,0.16,9289279,0.72,68,03-2025,OUARZAZATE
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,14,73,13879787,1.19,49268380,3.83,283,03-2025,OUJDA
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,15,78,168960899,14.5,183423435,14.25,598,03-2025,SUCCURSALEDERABAT
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,16,80,7370951,0.63,15821911,1.23,110,03-2025,SAFI
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,17,83,8749013,0.75,19778080,1.54,138,03-2025,SETTAT
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,18,86,25298634,2.17,62369452,4.85,255,03-2025,TANGER
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,19,88,3733317,0.32,15244522,1.18,96,03-2025,TAZA
Répartition par rayon d'action des dépôts et crédits 03-2025,https://www.bkam.ma/content/download/830714/9049079/Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,Répartition par rayon d'action des dépôts et crédits 03 2025.pdf,1,20,96,7739041,0.66,26396079,2.05,134,03-2025,TETOUAN
