report_title,report_url,pdf_filename,page_number,row_number,code_rayon_d_action,credit_montant,credit_percent,depots_montant,depots_percent,nombre_guichets,periode,rayon_d_action
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,17,83,8729096,0.74,20819381,1.57,133,11-2025,SETTAT
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,18,86,25275667,2.15,66613452,5.01,250,11-2025,TANGER
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,19,88,3683447,0.31,15884339,1.2,94,11-2025,TAZA
Répartition par rayon d'action des dépôts et crédits 11-2025,https://www.bkam.ma/content/download/839595/9109239/Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,Répartition par rayon d'action des dépôts et crédits 11 2025.pdf,1,20,96,7878545,0.67,28522171,2.15,132,11-2025,TETOUAN
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,1,8,42056504,3.58,83437661,6.37,459,10-2025,AGADIR
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,2,12,1459377,0.12,12003701,0.92,60,10-2025,ALHOCEIMA
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,3,16,9969465,0.85,47398096,3.62,237,10-2025,BENIMELLAL
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,4,25,754433909,64.2,439780882,33.55,1227,10-2025,SUCCURSALEDECASABLANCA
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,5,28,12089092,1.03,15101625,1.15,101,10-2025,LAAYOUNE
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,6,30,11379525,0.97,22446111,1.71,138,10-2025,ELJADIDA
